PMID,DOI,Title,Abstract,Journal,Year,Authors,MeSH,Keywords
41918250,10.1080/07853890.2026.2634566,Epigenetic regulators polyphenols in neurodegenerative diseases: a promising intervention strategy.,"Neurodegenerative diseases are complex disorders characterized by the progressive loss of neuronal structure and function, involving pathological mechanisms such as oxidative stress, chronic inflammation, protein misfolding, and impaired synaptic plasticity. Recent studies have revealed that epigenetic regulation plays a critical role in the onset and progression of these diseases, including mechanisms such as DNA methylation, histone modifications, and non-coding RNA regulation. Natural polyphenolic compounds, known for their safety and multi-target properties, have emerged as promising candidates for neuroprotection and therapeutic intervention.

This review summarizes recent advances in the neuroprotective effects of polyphenols in neurodegenerative diseases through epigenetic mechanisms. It focuses on their regulation of DNA methyltransferase activity, histone acetylation status, and non-coding RNA expression, as well as their influence on neurotrophic factors, inflammatory mediators, and synapse-related gene expression.

Polyphenolic compounds such as curcumin, resveratrol, and epigallocatechin gallate (EGCG) have been shown to modulate epigenetic enzyme activity, alleviate neuroinflammation, improve mitochondrial function, and promote neuroregeneration, demonstrating multi-level neuroprotective effects. However, clinical translation is limited by low oral bioavailability, rapid metabolism, and insufficient brain-targeting capacity. Emerging strategies including nano-delivery systems, prodrug design, and omics technologies hold promise in overcoming these limitations and enhancing therapeutic efficacy.

Polyphenols exert multi-target regulatory effectsepigenetic mechanisms in neurodegenerative diseases, showing great potential for intervention. In the future, integrating precision nutrition, personalized treatment, and multi-omics approaches may facilitate the development of novel epigenetic-based strategies for the prevention and treatment of neurodegenerative disorders.",Annals of medicine,2026,Li LH; Huang Y; Wang XX; Xu CC; Wu L; He KL; Han DX; Chang Z; Wang JQ; Ma RJ,"Humans; Neurodegenerative Diseases; Polyphenols; Epigenesis, Genetic; Neuroprotective Agents; Animals; Resveratrol; Catechin; DNA Methylation; Oxidative Stress; Curcumin",Polyphenols; curcumin; epigallocatechin-3-gallate; epigenetic modulation; histone acetylation; miRNA regulation; neurodegeneration; resveratrol
42663279,10.3892/ijmm.2026.5966,lncRNAmediates palmitic acid‑induced neuronal lipotoxic injury via the miR‑449a‑5p/caspase‑3 and Akt/GSK‑3β axes.,"A close relationship exists between excessive lipids and structural and functional brain dysfunction, with the long non‑coding (lncRNA)‑microRNA (miR)‑mRNA network having an emerging role. Given the increasingly recognized role of the lncRNA taurine upregulated gene 1 () in metabolic and neurodegenerative diseases, the present study investigated its function and mechanism in palmitic acid (PA)‑induced neuronal injury. Results showed that lncRNAexpression was elevated in PA‑treated HT‑22 and SH‑SY5Y cells. Moreover, cell‑baseddetection including reverse transcription‑quantitative polymerase chain reaction, western blotting and lactate dehydrogenase cytotoxicity assays demonstrated a positive association between lncRNAexpression and lactate dehydrogenase release and cleaved caspase‑3 levels, whereas a negative association was observed with the expression levels of Bcl‑2 and synaptic proteins (synapsin‑1, synaptotagmin‑1 and brain‑derived neurotrophic factor) and the ratios of phosphorylated (p‑)Akt/Akt and p‑GSK‑3β/GSK‑3β. The downregulation of lncRNAreversed PA‑induced damage in HT‑22 cells. Bioinformatics and dual‑luciferase assays identified miR‑449a‑5p as the direct target of lncRNA. Rescue experiments revealed that miR‑449a‑5p mediated the effects of lncRNAby targeting caspase‑3 via the Akt/GSK‑3β pathway. Collectively, these findings establish a causal axis in which lncRNAderepresses caspase‑3 and suppresses Akt/GSK‑3β signaling by sponging miR‑449a‑5p, thereby driving neuronal lipotoxic injury.",International journal of molecular medicine,2026,Wei YD; Chen PQ; Zheng X; Wu LQ; Wang XY; Gao XR; Ge JF,"MicroRNAs; RNA, Long Noncoding; Glycogen Synthase Kinase 3 beta; Palmitic Acid; Neurons; Humans; Proto-Oncogene Proteins c-akt; Caspase 3; Animals; Signal Transduction; Cell Line; Cell Line, Tumor; Mice; Apoptosis",Akt/GSK‑3β pathway; Caspase‑3; lncRNA TUG1; miR‑449a‑5p; palmitic acid
42600914,10.1016/j.fct.2026.116339,Multi-omics analysis reveals coordinated epigenetic dysregulation in atrazine-induced dopaminergic neurotoxicity.,"Atrazine (ATR), a widely used triazine herbicide, has been linked to neurotoxicity, yet the epigenetic mechanisms underlying its dopaminergic effects remain unclear. This study investigated whether coordinated miRNA dysregulation and DNA methylation alterations contribute to ATR-induced Parkinson's disease (PD)-like neurotoxicity. Male Sprague-Dawley rats were administered ATR (50 mg/kg/day) for 90 days, resulting in motor and cognitive deficits with dopaminergic dysfunction, including increased α-synuclein and reduced tyrosine hydroxylase expression. Small RNA sequencing identified 72 differentially expressed miRNAs in the substantia nigra, enriched in PI3K-Akt, MAPK, and Ras signaling pathways. In a cohort of six PD patients and six matched controls, genome-wide DNA methylation profiling revealed 4694 differentially methylated positions, predominantly hypomethylated, with overlapping enrichment in neuronal signaling pathways. Weighted gene co-expression network analysis identified a PD-associated module strongly correlated with disease status (r = -0.95, P < 0.001). Multi-omics integration identified CASP3 as a central hub gene. External validation supported CASP3 relevance in PD (AUC = 0.833), and molecular docking suggested potential ATR-CASP3 interaction. Further analysis predicted upregulated miR-3552 as a potential upstream regulator of CASP3. These findings indicate that ATR-induced neurotoxicity may be mediated through the miR-3552/CASP3 signaling axis, ultimately regulating apoptosis and contributing to neurodegeneration.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2026,Ning S; Liu Z; Li Y; Zhang R,"Animals; Atrazine; Male; Rats, Sprague-Dawley; Rats; Epigenesis, Genetic; Multiomics; Herbicides; DNA Methylation; Humans; MicroRNAs; Neurotoxicity Syndromes; Dopamine; Signal Transduction",Atrazine; DNA methylation; Multi-omics; Parkinson's disease; miRNA
42600995,10.1016/j.nbd.2026.107574,Circular RNAs in amyotrophic lateral sclerosis.,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disorder characterized by the progressive loss of motor neurons, with most cases lacking a clear genetic basis. Emerging evidence highlights the involvement of non-coding RNAs, particularly circular RNAs (circRNAs), in disease onset and progression. Here, we investigated circRNAs implicated in ALS and related motor neuron diseases (MNDs). Here, we provide a general overview of circular RNA metabolism and cellular functions. We then present our systematic literature review that identified ALS-associated circRNAs, followed by in silico analyses of 15 circular RNA candidates that were selected based on the most compelling data regarding ALS. Our results revealed that several circular RNAs regulate ALS-related genes, such as unfolded protein response, oxidative stress, cell cycle regulation, and apoptosis. Protein-RNA interaction analysis further showed that ALS-related circRNAs can sponge 20 RNA-binding proteins. Additionally, molecular docking analysis demonstrated that ALS-associated FUS variants significantly alter its binding affinity to circular RNAs. RNA-seq data from ALS patients confirmed significant alterations in the expression of host genes of ALS-related circRNAs and hub proteins in ALS-affected CNS tissues. Collectively, our findings identify circRNAs as potential key contributors to ALS pathogenesis.",Neurobiology of disease,2026,Ataei R; Amini J; Sanadgol N; Simon AF; Duennwald ML,"Amyotrophic Lateral Sclerosis; Humans; RNA, Circular; Animals; RNA-Binding Protein FUS",Amyotrophic lateral sclerosis (ALS); Circular RNAs (circRNAs); FUS; miRNA sponging
42385887,10.1016/j.fct.2026.116238,Integrated whole-transcriptome analysis reveals ceRNA network dysregulation underlying methcathinone-induced synaptic damage and cognitive impairment.,"Methcathinone (MCAT), a synthetic cathinone structurally analogous to amphetamine, poses substantial public health concerns due to its high addictive liability and pronounced neurotoxicity. In the present study, rat models of MCAT-induced neurotoxicity were established using low (0.5 mg/kg), medium (5 mg/kg), and high (20 mg/kg) doses. Cognitive function was assessed using the Morris water maze, while hippocampal synaptic morphology and ultrastructure were examined via Golgi staining and transmission electron microscopy. To elucidate the underlying molecular mechanisms, whole-transcriptome sequencing was performed to profile mRNAs, miRNAs, circRNAs, and lncRNAs in the hippocampus across exposure groups relative to controls. Differential expression analysis identified extensive transcriptional alterations, including 1646, 1539, and 1477 DEmRNAs; 32, 28, and 23 DEmiRNAs; 749, 728, and 753 DEcircRNAs; and 391, 369, and 371 DElncRNAs in the low-, medium-, and high-dose groups, respectively. Functional enrichment analyses consistently implicated synapse-related processes and neurodegeneration-associated pathways. Notably, activity-dependent immediate-early genes (c-Fos, Nr4a1, Arc, Egr1, Egr2, and Npas4) were uniformly downregulated across all exposure levels, indicating impaired neuronal activity-dependent transcriptional responses. Integration of multi-layered transcriptomic data enabled the construction of circRNA-miRNA-mRNA and lncRNA-miRNA-mRNA competing endogenous RNA (ceRNA) networks, revealing extensive post-transcriptional regulatory interactions. A core ceRNA network was identified, comprising 6 hub mRNAs, 9 miRNAs, 95 lncRNAs, and 146 circRNAs. Quantitative RT-PCR validation demonstrated high concordance with RNA-seq results, supporting the robustness of the dataset. These findings demonstrate that MCAT induces cognitive deficits and synaptic structural impairments by disrupting activity-dependent gene expression and neurotrophic signaling through complex ceRNA-mediated regulatory networks. This study provides novel mechanistic insights into MCAT-induced neurotoxicity and identifies potential molecular targets for therapeutic intervention in psychostimulant-related cognitive dysfunction.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2026,Zhou R; Xu C; Chen Z; Lv J; Yun K; Wei Z,"Animals; Propiophenones; RNA, Competitive Endogenous; Rats; Gene Expression Profiling; Synapses; Cognitive Dysfunction; Hippocampus; Male; Rats, Sprague-Dawley; Transcriptome; Gene Regulatory Networks; MicroRNAs; RNA, Messenger",Methcathinone; Neurotoxicity; Whole transcriptomics; ceRNA
41467429,10.4103/NRR.NRR-D-25-00554,Therapeutic potential of astrocyte transdifferentiated neurons.,"The permanent functional deficits resulting from the inability of adult mammalian central nervous system neurons to regenerate after injury present a significant clinical challenge. While traditional stem cell transplantation strategies continue to encounter ethical concerns and the risk of immune rejection, this impasse has shifted regenerative medicine research toward targeting endogenous astrocytes. Due to their intrinsic plasticity, widespread distribution throughout the central nervous system, and affinity for neurodevelopmental lineage, astrocytes are a unique target for in situ neuronal regeneration. This review systematically elucidates the core regulatory network governing astrocyte transdifferentiation, identifying 10 key signaling pathways, such as Wnt signaling pathway, that form a cascade regulatory system. Directed overexpression of transcription factors such as NeuroD1, Ascl1, or Neurog2 can directly initiate neuronal phenotypic conversion. Meanwhile, small molecule compounds such as valproic acid combined with CHIR99021 activate endogenous neurogenic programs by inhibiting the bone morphogenetic protein signaling axis. Notably, polypyrimidine tract binding protein 1 ( PTB ) gene silencing significantly enhances transdifferentiation efficiency by suppressing the microRNA 124/re1 silencing transcription factor (miR-124/REST) feedback loop. From a translational perspective, a multidimensional evaluation system based on morphological, molecular marker, and electrophysiological properties has demonstrated considerable therapeutic potential. In stroke models, NeuroD1-mediated transdifferentiation replenished approximately 30% of lost cortical neurons and improved motor coordination, evidenced by enhanced performance in food pellet retrieval, grid walking, and cylinder tests compared with controls. In spinal cord injury studies, SOX2-induced glutamatergic neurons moderately reduced glial scar density by about 25%, permitting regenerating axons to pass through while preserving the supportive structure of scar. In neurodegenerative contexts, PTB inhibition yielded functionally mature dopaminergic neurons and reconstructed nigrostriatal pathways in Parkinson's disease models. In Alzheimer's disease models, adeno-associated virus-delivered NeuroD1 induced whole-brain neural circuit remodeling, generating 500,000 new neurons widely distributed across the cortex and hippocampus, accompanied by improved cognitive performance. Current technical limitations include off-target effects of adeno-associated virus vectors, which cause nonspecific gene expression and require rigorous validation via Cre-loxP lineage tracing. Transdifferentiation efficiency is also highly influenced by regional microenvironments: gray matter astrocytes show higher conversion rates than those in white matter, and oxidative stress increases apoptosis among newly generated neurons. Clinical translation is further constrained by the safety of delivery systems and the aging tissue microenvironment, where transforming growth factor beta 1 is often elevated. Ferroptosis inhibitors have been shown to nearly double the survival rate of transdifferentiated cells, offering a novel strategy to mitigate oxidative damage. Based on current evidence, astrocyte transdifferentiation enables neural functional recovery across multiple disease models through endogenous repair mechanisms. Future advances should focus on optogenetically inducible vectors for spatiotemporal precision, non-viral delivery systems to mitigate vector-related risks, and integration of long-term safety validation in non-human primates with single-cell multi-omics technologies to facilitate the clinical translation of personalized regenerative therapies.",Neural regeneration research,2025,Liang X; Qin R; Qin Q; Xu W; Xu H; Lai X; Shao L; Li C; Xie M; Xiong X; Tang Q; Chen L,,Alzheimer’s disease; Huntington’s disease; Parkinson’s disease; amyotrophic lateral sclerosis; cell transdifferentiation; ischemic stroke; nervous system diseases; ptbp1 protein; small molecule; spinal cord injury; transcription factors
42716230,10.1016/j.nbd.2026.107603,"MicroRNAs in polyglutamine diseases: Mechanistic insights, circulating biomarkers, and emerging microRNA-based therapeutic strategies.","MicroRNAs (miRNAs) have emerged as critical regulators in the pathogenesis of polyglutamine (PolyQ) diseases-a group of fatal neurodegenerative disorders caused by CAG repeat expansions, such as Huntington's disease, spinocerebellar ataxias, dentatorubral-pallidoluysian atrophy, and spinal and bulbar muscular atrophy. This review synthesizes recent advances in miRNA dysregulation across all nine PolyQ diseases, focusing on studies published since 2019. We examine how specific miRNAs modulate core pathogenic cascades-including mutant protein aggregation, transcriptional dysregulation, mitochondrial dysfunction, and apoptosis-and then link these molecular events to disease-relevant motor, cognitive, and psychiatric phenotypes. The review highlights therapeutic progress, including the preclinical efficacy of adeno-associated virus (AAV)-delivered artificial miRNAs and emerging exosome-based platforms that target mutant transcripts such as HTT, ATXN1, ATXN3, and ATXN7. AAV5-miHTT has advanced to a first-in-human trial for Huntington's disease (NCT04120493)-a key milestone in clinical translation. Circulating miRNAs in plasma and cerebrospinal fluid show diagnostic potential as minimally invasive, stage-specific biomarkers, but challenges persist in normalization, cross-biofluid concordance, and clinical validation. Despite substantial progress, translational barriers remain-including off-target effects, delivery optimization, immunogenicity, and patient heterogeneity. Overcoming these barriers will require integrative approaches that combine single-cell transcriptomics, engineered delivery systems, machine learning, and longitudinally phenotyped clinical cohorts. This review integrates mechanistic insights, biomarker discovery, and therapeutic development to move miRNA-based strategies toward disease-modifying interventions for PolyQ disorders.",Neurobiology of disease,2026,Liu Y; Cui Y; Sun M; Gong L; Liu K; Zhang S; Tan X; Cong S,,Biomarker; Circulating miRNA; Polyglutamine disease; microRNA
42711740,10.1186/s40035-026-00581-1,Human amniotic mesenchymal stromal cell-derived extracellular vesicles reprogram microglia and prevent neurodegeneration in experimental models of Alzheimer's disease.,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disorder and disproportionately affects women, with neuroinflammation emerging as a key driver of disease onset and progression. Beyond amyloid-β (Aβ) and hyperphosphorylated tau protein accumulation, chronic activation of microglia and astrocytes amplifies synaptic dysfunction and neuronal loss. Mesenchymal stromal cell-derived extracellular vesicles (MSC-EVs) represent a promising translational strategy due to their capacity to modulate inflammation and promote neuroprotection. Here, we investigated whether intranasal administration of extracellular vesicles derived from human amniotic membrane MSCs (hAMSC-EVs) could counteract cognitive decline, neuroinflammation, and synaptic alterations in experimental and human cellular models of AD.

hAMSC-EVs were isolated and characterized for size, markers, and biodistribution. Female 3 × Tg-AD mice received chronic intranasal hAMSC-EV administration from 3 to 9 months of age. Cognitive performance was assessed using novel object recognition, object place recognition, and Y-maze tests. Hippocampal Aβ levels, tau phosphorylation, glial density, microglial morphology, cytokine profiles, and synaptic protein expression were analyzed by immunoblotting, ELISA, immunofluorescence, and morphometric analyses. Bioinformatic analyses were performed to investigate the miRNA cargoes of hAMSC-EVs. Translational relevance of the hAMSC-EV effects was assessed in glutamatergic neurons differentiated from induced pluripotent stem cells derived from sporadic AD patients.

The hAMSC-EVs delivered intranasally reached the hippocampus and were internalized by neurons and microglia. hAMSC-EV treatment significantly improved cognitive performance of female 3 × Tg-AD mice and reduced hippocampal Aβ levels without affecting tau phosphorylation. The hAMSC-EVs attenuated neuroinflammation by reducing microglial and astrocytic density, inducing microglial structural remodeling, and downregulating TMEM119 and TREM2 expression. We also detected a shift toward an anti-inflammatory cytokine profile and increased expression of neuroplasticity-related proteins, including BDNF, GluA1, and ARC in the hippocampus of 3 × Tg-AD mice. Bioinformatic analyses identified EV miRNA cargoes enriched in immunomodulatory and neuroprotective pathways. In human AD neurons, hAMSC-EVs prevented neurite atrophy and rescued synaptic protein expression without affecting the cell viability.

hAMSC-EVs exert robust anti-inflammatory and neuroprotective effects in both murine and human AD models, improving cognition, modulating glial activation, and restoring synaptic integrity. These findings highlight the translational potential of intranasal hAMSC-EVs as an adjuvant therapeutic strategy targeting neuroinflammation and neurodegeneration in AD.",Translational neurodegeneration,2026,Papait A; Natale F; Silini AR; Nifo Sarrapochiello I; Orecchini E; Sollazzo R; Rinaudo M; Farigu S; Garofalo N; Mantini G; Giuffrè GM; Romele P; Ragozzino E; Dellaria A; Giacò L; Marra C; Ripoli C; Grassi C; Parolini O; Fusco S,"Alzheimer Disease; Extracellular Vesicles; Animals; Humans; Microglia; Female; Mice; Mesenchymal Stem Cells; Disease Models, Animal; Mice, Transgenic; Amnion; Hippocampus; Administration, Intranasal",Extracellular vesicles; Microglia; Neuroinflammation; Neuroplasticity; iPSC-derived human neurons
42708923,10.1021/acsnano.6c09351,A Rapid Poly(ethylene glycol)-Assisted Magnetic Isolation Approach for High-Throughput Extracellular Vesicle Isolation and Subsequent Biomarker Analysis.,"Extracellular vesicles (EVs) are crucial mediators of intercellular communication and have the potential to serve as biomarkers for disease diagnosis and therapeutic monitoring. However, most EV isolation methods often require large sample volumes and specialized instruments or involve trade-offs between purity, yield, cost, and scalability. We developed MagPEG, a workflow that combines poly(ethylene glycol) (PEG)-mediated EV aggregation with magnetic beads to provide a simple, reproducible alternative to ultracentrifugation, size-exclusion chromatography, and commercial precipitation kits. Our optimization experiments clarified the PEG concentration, ionic strength, and bead surface chemistry that collectively influence EV aggregation, capture efficiency, and contaminant coprecipitation, allowing us to define conditions that improve purity while maintaining high recovery. Compared with commonly used methods, MagPEG produced EVs with comparable size distribution, EV markers, and proteomic profiles while relying only on standard laboratory supplies. A key feature of the platform is that EVs and EV-associated DNA, RNA, and proteins can be sequentially extracted from the same bead-bound material, reducing sample loss and hands-on time and enabling multiomic analysis for limited clinical or small animal samples. MagPEG is compatible with downstream applications including proteomics, bead-based assays, and miRNA quantification. When applied to human serum, the method supported high-throughput EV proteomic profiling and enabled the identification of Alzheimer's disease-associated protein signatures, illustrating its utility for biomarker discovery. Overall, our results establish MagPEG as a powerful, rapid, scalable, and high-throughput solution for translational applications in biomarker discovery.",ACS nano,2026,Sun L; Duke L; Vied C; Hammel G; Pate B; Wang J; Zhang Y; Tian DS; Fan J; Ren Y,Polyethylene Glycols; Biomarkers; Extracellular Vesicles; Humans; Animals; High-Throughput Screening Assays; Proteomics,Biomarker Profiling; Extracellular Vesicles; High-throughput; Magnetic Beads; PEG
42696105,10.1007/s12264-026-01711-5,Identification of Age-Associated Upstream Regulators to Promote Neuronal Resilience in HD Patient-Derived Neurons.,"Aging is a risk factor for neurodegenerative disorders, but the molecular link between neuronal aging and neurodegeneration remains unclear. Huntington's disease (HD) is an inherited neurodegenerative disorder with adult-onset clinical symptoms. Striatal medium spiny neurons (MSNs) are mainly affected in HD, but how aging contributes to MSN degeneration remains uncertain. Using directly converted MSNs from fibroblasts of HD patients (HD-MSNs), we studied age-related pathological features, including neuronal cell death, mutant huntingtin (mHTT) aggregation, and DNA damage in HD. In this study, through transcriptomic analysis of longitudinally aged MSNs and HD-MSNs, we identified four upstream regulators, NFKB1, SOD1, IRF3, and REST, that modulate downstream gene expression in aged MSNs. Among these, knocking down NFKB1 significantly reduced HD pathologies in HD-MSNs, while overexpressing NFKB1 reversed these protective effects. Overall, these results identify NFKB1 as a key age-associated upstream regulator whose downregulation confers neuronal resilience and is a potential therapeutic target in HD.",Neuroscience bulletin,2026,Oh YM; Bacallao EA; Lee SA; Kim J; Swinford S; Smith GE; Britt B; Abdalla SM; Lee SW,,Age-associated upstream regulator; Huntington’s disease; Medium spiny neurons; MicroRNA-mediated direct neuronal conversion; Neurodegeneration; Neurodegenerative disease; Neuronal aging; Patient-derived neurons
