mirna,family,n_articles_mentioning,n_articles_mentioning_family
miR-125b,miR-125b,10,13
miR-146a,miR-146a,7,11
miR-22-3p,miR-22,6,8
miR-29b,miR-29b,6,6
miR-34a,miR-34a,6,10
miR-193b,miR-193b,5,5
miR-29c-3p,miR-29c,5,7
miR-29a,miR-29a,5,8
miR-214,miR-214,5,6
miR-19b-3p,miR-19b,5,8
miR-107,miR-107,4,4
miR-181c,miR-181c,4,6
miR-146a-5p,miR-146a,4,11
miR-335-5p,miR-335,4,5
miR-34a-5p,miR-34a,4,10
miR-137,miR-137,4,4
miR-451a,miR-451a,4,4
miR-24-3p,miR-24,4,8
miR-331-5p,miR-331,4,7
miR-24,miR-24,4,8
miR-195,miR-195,4,4
miR-221,miR-221,4,7
miR-155,miR-155,4,5
miR-142-3p,miR-142,4,5
miR-125b-5p,miR-125b,3,13
miR-223,miR-223,3,5
miR-9-5p,miR-9,3,4
miR-106b-5p,miR-106b,3,7
miR-222,miR-222,3,3
miR-101,miR-101,3,3
miR-133b,miR-133b,3,3
miR-21-5p,miR-21,3,4
miR-210-3p,miR-210,3,3
miR-320a,miR-320a,3,4
miR-106b-3p,miR-106b,3,7
miR-16-5p,miR-16,3,3
miR-425-5p,miR-425,3,4
miR-130b,miR-130b,3,3
miR-132,miR-132,3,5
miR-374a-5p,miR-374a,3,3
miR-26b-5p,miR-26b,3,5
miR-221-3p,miR-221,3,7
miR-15b-5p,miR-15b,3,5
miR-29a-3p,miR-29a,3,8
miR-132-3p,miR-132,3,5
miR-34b,miR-34b,3,3
miR-26a-5p,miR-26a,3,4
miR-204-5p,miR-204,3,4
miR-151a-3p,miR-151a,3,5
miR-19b,miR-19b,3,8
miR-30b,miR-30b,2,3
miR-223-5p,miR-223,2,5
miR-153,miR-153,2,2
miR-409-3p,miR-409,2,2
miR-3613-3p,miR-3613,2,2
miR-20a,miR-20a,2,2
miR-4505,miR-4505,2,2
miR-185-5p,miR-185,2,3
miR-206,miR-206,2,3
miR-15b,miR-15b,2,5
miR-19a,miR-19a,2,2
miR-29c,miR-29c,2,7
miR-26b,miR-26b,2,5
miR-27a-3p,miR-27a,2,3
miR-17,miR-17,2,2
miR-485-3p,miR-485,2,3
miR-151a-5p,miR-151a,2,5
let-7g-5p,let-7g,2,3
miR-342-3p,miR-342,2,3
miR-135a,miR-135a,2,2
let-7a,let-7a,2,2
miR-125a-5p,miR-125a,2,4
miR-128,miR-128,2,2
miR-378a-3p,miR-378a,2,2
miR-574-5p,miR-574,2,2
miR-92a-3p,miR-92a,2,2
miR-423-5p,miR-423,2,2
miR-7-5p,miR-7,2,3
let-7b-5p,let-7b,2,3
miR-4274,miR-4274,2,2
miR-25,miR-25,2,3
miR-203a-3p,miR-203a,2,2
miR-103,miR-103,2,2
miR-191,miR-191,2,3
miR-331,miR-331,2,7
miR-29,miR-29,2,2
miR-545-3p,miR-545,2,2
miR-106a-5p,miR-106a,2,2
miR-10a-5p,miR-10a,1,1
miR-584-5p,miR-584,1,1
miR-30a,miR-30a,1,3
miR-16-1,miR-16-1,1,1
miR-30e,miR-30e,1,1
miR-125a-3p,miR-125a,1,4
miR-3935,miR-3935,1,1
miR-183,miR-183,1,1
miR-451,miR-451,1,1
miR-519,miR-519,1,1
miR-181a,miR-181a,1,1
miR-320-5p,miR-320,1,1
miR-218-5p,miR-218,1,1
miR-320a-5p,miR-320a,1,4
miR-1260a,miR-1260a,1,1
miR-214-3p,miR-214,1,6
miR-150-3p,miR-150,1,2
let-7b-3p,let-7b,1,3
miR-4455,miR-4455,1,1
miR-8069,miR-8069,1,1
miR-6125,miR-6125,1,1
miR-30a-5p,miR-30a,1,3
miR-511-3p,miR-511,1,1
miR-499-3p,miR-499,1,1
miR-128-3p,miR-128,1,2
miR-128-related,miR-128-related,1,1
miR-339-5p,miR-339,1,1
miR-455-5p,miR-455,1,2
miR-155-5p,miR-155,1,5
miR-34,miR-34,1,1
miR-106a,miR-106a,1,2
miR-329,miR-329,1,1
miR-15a-5p,miR-15a,1,2
miR-127-3p,miR-127,1,1
miR-15a,miR-15a,1,2
miR-204,miR-204,1,4
miR-4443,miR-4443,1,1
miR-484,miR-484,1,1
miR-211-5p,miR-211,1,1
miR-4667-5p,miR-4667,1,1
miR-4446-3p,miR-4446,1,1
miR-34c,miR-34c,1,2
miR-148b,miR-148b,1,2
miR-6865-3p,miR-6865,1,1
miR-181c-5p,miR-181c,1,6
