record_id,study_id,first_author,year,disease,marker,sensitivity,specificity,n_cases,n_controls,continuity_corrected,in_primary_analysis
E004,38618193,Duan X,2024,AD,miR-125b-1-3p,0.821,0.677,71,71,False,False
E005,38618193,Duan X,2024,AD,miR-451a,0.679,0.726,71,71,False,True
E007,28137310,Hara N,2017,AD,miR-501-3p,0.53,1.0,27,18,True,True
E020,35655754,Wu L,2022,PD,miR-153,0.548,0.747,75,73,False,True
E021,35655754,Wu L,2022,PD,miR-223,0.685,0.88,75,73,False,False
E039,29707120,Dos Santos MCT,2018,PD,miRNA panel (Model A),0.9,0.8,40,40,False,True
E051,38172670,Liang J,2024,PD,miR-675-5p,0.9327,0.3271,104,106,False,True
E052,38172670,Liang J,2024,PD,miR-1247-5p,0.4712,0.7642,104,106,False,False
E063,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,PD,miR-124,0.741,0.778,58,30,False,True
E064,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,PD,miR-1976,0.518,0.901,58,30,False,False
E065,10.3760/cma.j.issn.0254-9026.2024.01.005,Chen T,2024,PD,miR-124 + miR-1976,0.764,0.932,58,30,False,False
E066,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,PD,miR-124,0.8667,0.7503,90,100,False,True
E067,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,PD,miR-494,0.6111,0.79,90,100,False,False
E068,10.3760/cma.j.cn371468-20200828-01692,Li J,2021,PD,miR-124 + miR-494,0.8556,0.85,90,100,False,False
E069,10.19193/0393-6384_2020_3_291,Wu L,2020,PD,miR-9a,0.9059,0.7,85,50,False,True
E070,10.19193/0393-6384_2020_3_291,Wu L,2020,PD,miR-133b,0.8353,0.82,85,50,False,False
E071,10.19193/0393-6384_2020_3_291,Wu L,2020,PD,miR-9a + miR-133b,0.8941,0.88,85,50,False,False
E074,42492311,Chen P,2026,PD,miR-423-5p,0.8434,0.7679,83,56,False,True
