family,mean_auc,n_studies,max_auc,min_auc,n_articles_mentioning
miR-125b,0.753,1,0.753,0.753,13
miR-146a,0.6799999999999999,1,0.6799999999999999,0.6799999999999999,11
miR-34a,0.738,1,0.738,0.738,10
miR-24,0.76,1,0.76,0.76,8
miR-29c,0.855,2,0.86,0.85,7
miR-29b,0.726,1,0.726,0.726,6
miR-132,0.76,1,0.76,0.76,5
miR-223,0.862,1,0.862,0.862,5
miR-335,0.6775,1,0.6775,0.6775,5
miR-9,1.0,1,1.0,1.0,4
miR-451a,0.728,1,0.728,0.728,4
miR-101,0.781,1,0.781,0.781,3
miR-92a,0.778,1,0.778,0.778,2
miR-106a,0.701,1,0.701,0.701,2
miR-128,0.831,1,0.831,0.831,2
miR-153,0.631,1,0.631,0.631,2
let-7i,0.835,1,0.835,0.835,1
miR-23b,0.8086,1,0.8086,0.8086,1
miR-328,0.702,1,0.702,0.702,1
miR-125b-1,0.765,1,0.765,0.765,1
miR-211,0.621,1,0.621,0.621,1
miR-661,0.75,1,0.75,0.75,1
miR-501,0.82,1,0.82,0.82,1
miR-1285,0.77,1,0.77,0.77,0
miR-1227,0.76,1,0.76,0.76,0
