species,param_id,half_life_hours,dosing_interval_hours,peak_over_average,fraction_of_interval_above_half_peak
miR-7,K020,1.7,8.0,3.3918,0.2125
miR-7,K020,1.7,12.0,4.9298,0.1417
miR-7,K020,1.7,24.0,9.7862,0.0708
miR-7,K020,1.7,48.0,19.5712,0.0354
miR-7,K020,1.7,168.0,68.4993,0.0101
miR-7 upper bound,K021,5.0,8.0,1.655,0.625
miR-7 upper bound,K021,5.0,12.0,2.0524,0.4167
miR-7 upper bound,K021,5.0,24.0,3.451,0.2083
miR-7 upper bound,K021,5.0,48.0,6.6628,0.1042
miR-7 upper bound,K021,5.0,168.0,23.2897,0.0298
miR-29b,K017,7.0,8.0,1.4478,0.875
miR-29b,K017,7.0,12.0,1.7091,0.5833
miR-29b,K017,7.0,24.0,2.6198,0.2917
miR-29b,K017,7.0,48.0,4.7944,0.1458
miR-29b,K017,7.0,168.0,16.6355,0.0417
miR-29c,K018,10.6,8.0,1.2843,1.0
miR-29c,K018,10.6,12.0,1.4431,0.8833
miR-29c,K018,10.6,24.0,1.982,0.4417
miR-29c,K018,10.6,48.0,3.281,0.2208
miR-29c,K018,10.6,168.0,10.9859,0.0631
median miRNA,K016,34.0,8.0,1.0838,1.0
median miRNA,K016,34.0,12.0,1.1273,1.0
median miRNA,K016,34.0,24.0,1.2645,1.0
median miRNA,K016,34.0,48.0,1.5678,0.7083
median miRNA,K016,34.0,168.0,3.5402,0.2024
